1454741172.000000, 1454741172.000000, 1454741172.000000
32.000000, 32.000000, 32.000000
-39,-1,49
-39,-1,49
-42,2,49
-42,2,49
-43,3,49
-43,6,49
-43,7,48
-42,7,48
-42,7,47
-43,8,47
-42,8,47
-44,8,47
-45,9,47
-44,9,46
-44,9,46
-44,11,46
-44,10,46
-43,10,45
-43,10,46
-43,10,46
-43,10,46
-43,10,46
-43,10,46
-43,10,46
-43,10,46
-43,11,46
-42,11,46
-43,11,45
-43,11,46
-42,11,45
-43,11,46
-43,11,46
-43,11,45
-44,12,46
-44,13,45
-43,12,45
-43,12,46
-43,12,45
-43,11,45
-44,11,45
-44,11,46
-44,11,46
-44,11,46
-43,11,45
-43,11,45
-44,11,45
-45,11,46
-45,11,46
-44,11,46
-43,11,47
-43,11,46
-43,11,46
-43,9,46
-44,7,48
-43,7,49
-43,4,50
-43,4,51
-44,2,52
-43,0,51
-45,-2,52
-44,-2,51
-44,-4,51
-45,-7,51
-47,-10,51
-44,-13,53
-42,-15,54
-42,-17,50
-40,-20,53
-41,-21,54
-37,-25,50
-36,-26,51
-32,-24,47
-31,-25,44
-23,-21,47
-21,-16,46
-18,-15,44
-25,-7,48
-21,-4,54
-29,1,56
-36,11,59
-33,2,68
-10,-8,52
-10,1,66
-30,-2,50
-19,-1,53
-21,-2,48
-20,-3,51
-15,-2,51
-12,-2,59
-12,-6,80
-11,-8,67
-14,-12,68
-9,-6,77
-17,-13,71
-24,-4,74
-17,1,74
-26,-2,47
-36,-10,53
-32,-11,49
-35,-8,40
-36,-4,35
-43,-3,35
-37,-10,49
-33,-1,54
-23,-1,45
-24,-2,47
-26,7,51
-25,3,51
-19,7,70
-27,6,68
-13,4,71
-3,7,80
1,8,75
-7,3,62
-11,9,66
-3,8,71
-3,5,72
-9,9,68
-9,13,61
-9,12,57
-4,11,62
-2,11,64
-5,12,61
-2,13,60
-2,13,66
-2,11,64
-4,12,61
-9,13,57
-6,17,59
1,15,61
-8,15,59
-10,17,59
-8,16,58
-6,14,64
0,13,66
4,14,69
-5,15,62
-5,15,60
-6,15,59
-8,15,55
-4,16,53
8,22,65
4,26,62
10,23,62
4,23,63
1,20,78
4,15,75
3,18,61
7,6,67
5,10,69
10,11,64
4,12,61
-3,21,63
-5,16,62
-2,7,64
-10,1,64
-19,0,54
-21,-3,46
-23,-3,48
-36,-2,41
-31,7,66
-16,12,73
3,21,76
3,24,67
-12,14,51
-29,8,45
-53,12,29
-53,12,31
-47,9,71
-40,4,61
-36,3,59
-23,4,60
-27,2,55
-16,10,63
-12,9,66
-33,-12,54
-25,20,65
-21,4,61
